Nom;Nom complet;sexe;race;couleurs;poids
Manon;Manon de Allemagne;2;maltais;rouge;5.7
Mathis;Mathis de Grèce;1;ovtccau;indigo,orange;15.9
Ethan;Ethan de Allemagne;1;tchin;violet,indigo,indigo;7.9
Léna;Léna de France;2;labrador;indigo,orange;10.5
Camille;Camille de Grèce;2;iriredse;orange,jaune;1.9
Gabriel;Gabriel de Allemagne;1;akita;vert;1.3
Timéo;Timéo de France;1;akitinu;bleu,orange;2.8
Mathis;Mathis de Autriche;1;golden_ret;violet,bleu;12.5
Maëlys;Maëlys de Belgique;2;rottweiler;vert;19.7
Lola;Lola de Belgique;2;kangai;vert,rouge,indigo;7.1
Sarah;Sarah de Slovénie;2;iriredse;vert;5.0
Inès;Inès de Pays-Bas;2;rottweiler;orange,violet;14.5
Maël;Maël de Portugal;1;akitinu;violet,orange;8.6
Adam;Adam de Slovénie;1;akita;indigo,jaune;5.6
Lucas;Lucas de Chypre;1;estrela;jaune,indigo,bleu;7.9
Nolan;Nolan de Allemagne;1;basset_alp;bleu,bleu;7.2
Raphaël;Raphaël de Pays-Bas;1;golden_ret;orange,indigo;12.4
Zoé;Zoé de Belgique;2;basset_alp;rouge,vert,indigo;9.3
Louis;Louis de Slovaquie;1;irisett;indigo,jaune,bleu;0.9
Noah;Noah de Finlande;1;westie;orange,bleu,rouge;15.6
Enzo;Enzo de Belgique;1;rottweiler;jaune;14.1
Manon;Manon de Allemagne;2;rottweiler;vert,bleu;4.7
Ethan;Ethan de Belgique;1;tchin;vert;7.3
Inès;Inès de Belgique;2;maltais;vert;15.4
Louise;Louise de Finlande;2;akita;rouge,orange;17.5
Nathan;Nathan de Estonie;1;jackrute;orange,bleu,vert;6.8
Chloé;Chloé de Grèce;2;basset_alp;jaune,bleu;15.6
Eva;Eva de Malte;2;westie;orange;0.2
Manon;Manon de Slovaquie;2;jackrute;orange,orange,rouge;18.1
Tom;Tom de Malte;1;westie;jaune,vert;17.0
Lola;Lola de Allemagne;2;golden_ret;indigo;16.7
Lina;Lina de France;2;golden_ret;vert;11.6
Maëlys;Maëlys de Espagne;2;berger_all;bleu,indigo;11.2
Alice;Alice de Slovaquie;2;akita;violet;11.5
Jules;Jules de Malte;1;basset_alp;rouge,bleu,bleu;0.9
Théo;Théo de Slovénie;1;iriredse;jaune;13.1
Sarah;Sarah de Portugal;2;harrier;indigo,orange,violet;18.3
Lola;Lola de Finlande;2;tchin;indigo,bleu,indigo;1.2
Adam;Adam de Finlande;1;rottweiler;indigo,jaune,vert;18.7
Enzo;Enzo de Slovénie;1;basset_alp;violet,jaune;16.2
Sarah;Sarah de Pays-Bas;2;rottweiler;jaune,indigo,jaune;8.8
Lina;Lina de France;2;westie;indigo,indigo;19.4
Noah;Noah de Slovénie;1;labrador;jaune;13.8
Jules;Jules de Allemagne;1;irisett;jaune,indigo;0.9
Théo;Théo de France;1;caniche;vert,rouge;10.5
Sarah;Sarah de Portugal;2;iriredse;indigo;1.2
Lina;Lina de Estonie;2;rottweiler;orange,violet;14.1
Zoé;Zoé de Allemagne;2;maltais;rouge,jaune;15.2
Lucas;Lucas de Pays-Bas;1;dunker;jaune;1.4
Eva;Eva de France;2;dunker;violet;10.4
