Nom;Nom complet;sexe;race;couleurs;poids
Emma;Emma de Finlande;2;tchin;vert,jaune;9.2
Maëlys;Maëlys de Portugal;2;maltais;orange,vert,bleu;5.2
Raphaël;Raphaël de Autriche;1;maltais;jaune,violet;17.3
Eva;Eva de Autriche;2;estrela;indigo,violet,vert;11.6
Lucas;Lucas de France;1;dunker;violet,indigo,violet;5.2
Louis;Louis de Estonie;1;berger_all;rouge;13.5
Zoé;Zoé de France;2;akitinu;bleu;12.9
Nathan;Nathan de Slovaquie;1;tchin;jaune;16.2
Raphaël;Raphaël de Finlande;1;kangai;violet;14.2
Zoé;Zoé de Pays-Bas;2;rottweiler;violet;11.4
Nathan;Nathan de Italie;1;kangai;jaune;10.6
Maëlys;Maëlys de France;2;danois;orange;0.4
Nathan;Nathan de Grèce;1;kangai;violet,indigo,bleu;6.8
Arthur;Arthur de Portugal;1;danois;bleu,indigo;0.8
Léa;Léa de Italie;2;westie;orange,violet;13.5
Lola;Lola de Slovénie;2;ovtccau;indigo,bleu;2.7
Sarah;Sarah de Chypre;2;harrier;vert,bleu,orange;7.9
Raphaël;Raphaël de Portugal;1;ovtccau;bleu,rouge,violet;2.3
Inès;Inès de Autriche;2;estrela;indigo,bleu,indigo;11.6
Noah;Noah de Chypre;1;dunker;jaune,indigo,violet;5.9
Manon;Manon de Luxembourg;2;rottweiler;rouge,violet,vert;5.2
Tom;Tom de Lettonie;1;labrador;vert,indigo;2.1
Théo;Théo de Slovénie;1;tchin;jaune,rouge;11.1
Jules;Jules de Malte;1;golden_ret;vert;12.8
Manon;Manon de Slovénie;2;ovtccau;rouge;4.9
Inès;Inès de France;2;westie;orange;12.3
Lola;Lola de Allemagne;2;iriredse;violet;18.7
Théo;Théo de Estonie;1;irisett;jaune,bleu;8.5
Sarah;Sarah de Autriche;2;iriredse;rouge;5.6
Nathan;Nathan de Grèce;1;akitinu;jaune,vert;17.1
Lola;Lola de Autriche;2;danois;vert,jaune,rouge;3.5
Raphaël;Raphaël de Irlande;1;labrador;bleu,orange,rouge;4.9
Louna;Louna de Finlande;2;labrador;bleu,violet;9.9
Inès;Inès de Estonie;2;irisett;orange,bleu,bleu;16.4
Lucas;Lucas de Portugal;1;maltais;orange,orange,vert;4.1
Tom;Tom de Malte;1;kangai;bleu,jaune,bleu;8.0
Léa;Léa de Espagne;2;iriredse;orange;11.5
Louna;Louna de Allemagne;2;tchin;rouge;3.3
Chloé;Chloé de France;2;iriredse;rouge,orange;14.2
Tom;Tom de Espagne;1;berger_all;indigo,orange,jaune;5.7
Clara;Clara de Malte;2;kangai;indigo,vert;17.3
Emma;Emma de Portugal;2;irisett;bleu,indigo,bleu;2.5
Nolan;Nolan de Allemagne;1;tchin;bleu,rouge,orange;9.3
Adam;Adam de Malte;1;irisett;orange,rouge;16.9
Léo;Léo de Espagne;1;harrier;jaune;18.4
Jules;Jules de Lettonie;1;akita;bleu;5.1
Louis;Louis de Slovénie;1;kangai;vert;5.5
Romane;Romane de Belgique;2;westie;bleu,violet;1.9
Léo;Léo de Malte;1;caniche;bleu;16.5
Adam;Adam de Autriche;1;caniche;violet,orange,rouge;11.5
Arthur;Arthur de Lettonie;1;irisett;rouge,rouge,vert;19.2
Hugo;Hugo de Lettonie;1;akita;jaune,orange;19.2
Léo;Léo de Grèce;1;akitinu;violet;16.1
Clara;Clara de Belgique;2;ovtccau;indigo;15.3
Gabriel;Gabriel de Lettonie;1;irisett;orange;5.6
Chloé;Chloé de Slovénie;2;dunker;indigo,jaune,bleu;19.7
Lola;Lola de Malte;2;harrier;indigo;13.9
Enzo;Enzo de Espagne;1;dunker;indigo;8.7
Jade;Jade de Chypre;2;caniche;bleu;11.8
Inès;Inès de Grèce;2;irisett;orange,rouge;0.5
Léna;Léna de Lettonie;2;berger_all;jaune,bleu;13.6
Raphaël;Raphaël de Autriche;1;labrador;rouge;17.1
Mathis;Mathis de Portugal;1;berger_all;indigo,jaune;10.9
Hugo;Hugo de Slovénie;1;basset_alp;orange;7.1
Enzo;Enzo de Slovénie;1;caniche;orange,indigo,orange;2.5
Lina;Lina de Allemagne;2;kangai;bleu,bleu,vert;7.5
Hugo;Hugo de Chypre;1;berger_all;violet,vert,vert;10.6
Emma;Emma de Malte;2;iriredse;orange;19.8
Emma;Emma de Portugal;2;rottweiler;bleu;5.7
Sarah;Sarah de Italie;2;caniche;jaune,indigo,jaune;7.7
Sarah;Sarah de Belgique;2;westie;violet;1.3
Mathis;Mathis de Chypre;1;akitinu;vert,indigo,bleu;2.6
Manon;Manon de Italie;2;golden_ret;bleu;6.2
Raphaël;Raphaël de Slovénie;1;dunker;jaune;7.7
Hugo;Hugo de Slovaquie;1;akitinu;bleu,vert,bleu;14.2
Jules;Jules de Italie;1;iriredse;bleu;3.3
Maël;Maël de Autriche;1;kangai;violet,bleu,indigo;14.4
Sarah;Sarah de Irlande;2;golden_ret;bleu,vert,bleu;19.2
Gabriel;Gabriel de Slovaquie;1;rottweiler;indigo,bleu,jaune;13.9
Lina;Lina de Malte;2;berger_all;rouge,indigo,indigo;8.6
Maëlys;Maëlys de Malte;2;maltais;orange;19.1
Zoé;Zoé de Slovaquie;2;tchin;orange;0.7
Lina;Lina de Estonie;2;irisett;vert;5.5
Sarah;Sarah de Autriche;2;irisett;orange;6.1
Nolan;Nolan de Slovaquie;1;maltais;orange;16.0
Raphaël;Raphaël de Estonie;1;berger_all;jaune;1.5
Noah;Noah de Malte;1;kangai;violet,orange,jaune;11.5
Romane;Romane de Pays-Bas;2;basset_alp;jaune;9.4
Ethan;Ethan de Lettonie;1;iriredse;indigo,vert,orange;5.2
Jade;Jade de Allemagne;2;golden_ret;jaune;12.9
Chloé;Chloé de Belgique;2;irisett;violet,violet,indigo;16.7
Lola;Lola de Slovaquie;2;tchin;bleu,bleu,indigo;0.8
Manon;Manon de Irlande;2;iriredse;vert,bleu,indigo;1.0
Mathis;Mathis de Pays-Bas;1;caniche;vert,bleu;8.9
Arthur;Arthur de Estonie;1;dunker;orange,indigo;19.4
Ethan;Ethan de Pays-Bas;1;estrela;orange,orange;11.3
Nathan;Nathan de Italie;1;maltais;vert;6.5
Romane;Romane de Espagne;2;maltais;indigo;10.3
Mathis;Mathis de Grèce;1;rottweiler;indigo,rouge;5.5
Gabriel;Gabriel de Grèce;1;berger_all;vert;12.1
Lilou;Lilou de Finlande;2;dunker;bleu,orange;15.6
Lina;Lina de Malte;2;danois;violet,indigo;0.6
Noah;Noah de Espagne;1;estrela;jaune,bleu,violet;14.6
Sarah;Sarah de Autriche;2;maltais;violet,vert,violet;7.3
Tom;Tom de Estonie;1;caniche;orange,rouge,rouge;19.9
Manon;Manon de Grèce;2;westie;bleu;7.6
Eva;Eva de Grèce;2;labrador;vert,jaune;2.1
Léo;Léo de Allemagne;1;kangai;vert,rouge;16.7
Adam;Adam de Slovaquie;1;maltais;vert,vert;14.1
Mathis;Mathis de Grèce;1;ovtccau;violet,violet;7.7
Adam;Adam de Pays-Bas;1;berger_all;vert,vert;6.9
Emma;Emma de Slovaquie;2;harrier;rouge,rouge;18.9
Raphaël;Raphaël de Lettonie;1;basset_alp;orange;7.6
Raphaël;Raphaël de Pays-Bas;1;dunker;jaune,vert,indigo;12.8
Maëlys;Maëlys de Italie;2;golden_ret;orange,violet;10.5
Inès;Inès de Chypre;2;iriredse;jaune;6.6
Lola;Lola de Espagne;2;akitinu;jaune;14.9
Manon;Manon de Irlande;2;harrier;bleu;4.7
Chloé;Chloé de France;2;estrela;bleu,bleu,violet;4.5
Hugo;Hugo de Portugal;1;golden_ret;rouge,vert,jaune;18.0
Timéo;Timéo de Espagne;1;estrela;bleu,bleu,rouge;9.3
Hugo;Hugo de Slovénie;1;harrier;violet,violet;18.8
Clément;Clément de Irlande;1;akitinu;orange,orange;7.4
Manon;Manon de Autriche;2;irisett;bleu;0.5
Louna;Louna de Pays-Bas;2;jackrute;bleu;0.4
Léna;Léna de Slovénie;2;irisett;violet,violet,bleu;8.5
Clément;Clément de Grèce;1;dunker;violet;13.4
Chloé;Chloé de Grèce;2;tchin;indigo;7.0
Jules;Jules de Irlande;1;rottweiler;violet,rouge;18.7
Louis;Louis de Belgique;1;harrier;rouge;11.8
Mathis;Mathis de Chypre;1;rottweiler;indigo;3.3
Tom;Tom de Autriche;1;iriredse;violet,jaune,vert;13.0
Léna;Léna de Finlande;2;irisett;jaune,indigo;9.5
Mathis;Mathis de Irlande;1;tchin;jaune,bleu,violet;8.6
Camille;Camille de Chypre;2;tchin;vert,orange;6.2
Louna;Louna de Pays-Bas;2;kangai;rouge;3.4
Louna;Louna de Finlande;2;tchin;indigo,rouge,jaune;14.8
Lola;Lola de Espagne;2;estrela;jaune;3.4
Arthur;Arthur de France;1;caniche;vert,violet,violet;12.8
Manon;Manon de Grèce;2;irisett;rouge;0.4
Louis;Louis de Slovénie;1;dunker;violet;18.9
Tom;Tom de Luxembourg;1;caniche;jaune,vert;1.5
Clément;Clément de Belgique;1;tchin;bleu;5.0
Timéo;Timéo de Finlande;1;maltais;vert,vert,rouge;12.6
Louna;Louna de Slovaquie;2;caniche;indigo,indigo,jaune;2.3
Adam;Adam de Malte;1;tchin;violet,orange;5.5
Lucas;Lucas de Lettonie;1;jackrute;orange,violet,bleu;16.5
Emma;Emma de Autriche;2;jackrute;bleu;15.1
Léo;Léo de Malte;1;labrador;jaune,orange,indigo;4.8
Lina;Lina de Portugal;2;harrier;violet,orange,violet;12.6
Manon;Manon de Slovaquie;2;ovtccau;violet,rouge;14.2
Zoé;Zoé de Luxembourg;2;irisett;vert;11.2
Maëlys;Maëlys de Belgique;2;maltais;bleu,indigo;8.0
Noah;Noah de Grèce;1;labrador;indigo,vert;3.9
Maëlys;Maëlys de Allemagne;2;caniche;vert,indigo,violet;8.3
Nolan;Nolan de Autriche;1;ovtccau;jaune,bleu;17.7
Maëlys;Maëlys de Slovaquie;2;tchin;vert,violet,orange;1.0
Lina;Lina de Slovaquie;2;tchin;bleu,vert,indigo;1.5
Léa;Léa de Grèce;2;iriredse;jaune,orange,orange;19.1
Clara;Clara de Malte;2;dunker;vert,rouge,jaune;4.7
Nolan;Nolan de France;1;harrier;violet,rouge;8.8
Hugo;Hugo de Espagne;1;rottweiler;vert;15.7
Léo;Léo de Luxembourg;1;akita;violet,jaune;11.9
Gabriel;Gabriel de Grèce;1;rottweiler;orange,rouge,bleu;7.4
Léa;Léa de Portugal;2;rottweiler;rouge,jaune,violet;18.8
Raphaël;Raphaël de Malte;1;tchin;rouge,indigo,vert;19.1
Louise;Louise de Irlande;2;caniche;orange;15.8
Jade;Jade de Lettonie;2;berger_all;bleu,orange,violet;8.5
Ethan;Ethan de Slovaquie;1;akitinu;violet,indigo,bleu;18.8
Adam;Adam de Belgique;1;westie;violet,violet,rouge;8.7
Maël;Maël de Luxembourg;1;iriredse;jaune;13.0
Alice;Alice de Luxembourg;2;golden_ret;bleu,orange,jaune;7.6
Lola;Lola de Slovénie;2;basset_alp;orange,violet,violet;12.7
Arthur;Arthur de France;1;tchin;bleu,vert;15.6
Timéo;Timéo de Lettonie;1;harrier;rouge;5.8
Chloé;Chloé de Pays-Bas;2;rottweiler;violet,orange,jaune;1.7
Louna;Louna de Portugal;2;danois;violet,bleu,bleu;17.4
Eva;Eva de Portugal;2;estrela;violet;19.2
Hugo;Hugo de Espagne;1;labrador;vert,rouge;4.7
Maël;Maël de Chypre;1;iriredse;rouge,indigo,indigo;4.1
Romane;Romane de Belgique;2;dunker;indigo,orange;0.7
Emma;Emma de Portugal;2;jackrute;orange;0.1
Léa;Léa de Allemagne;2;berger_all;violet,rouge;2.2
Lola;Lola de Luxembourg;2;golden_ret;indigo,bleu;10.8
Romane;Romane de Espagne;2;dunker;violet,bleu;6.6
Tom;Tom de Pays-Bas;1;estrela;jaune;5.7
Louise;Louise de Slovénie;2;westie;jaune,orange,indigo;1.5
Lucas;Lucas de Finlande;1;rottweiler;indigo;16.3
Zoé;Zoé de Autriche;2;basset_alp;rouge,bleu,rouge;3.6
Eva;Eva de Chypre;2;tchin;vert,violet;19.2
Lucas;Lucas de Allemagne;1;labrador;bleu;6.7
Théo;Théo de Slovaquie;1;iriredse;jaune,orange,bleu;17.3
Arthur;Arthur de Chypre;1;estrela;bleu,rouge,indigo;1.9
Chloé;Chloé de Chypre;2;dunker;vert,rouge;18.5
Léna;Léna de Allemagne;2;caniche;orange,jaune,violet;15.6
Clément;Clément de Finlande;1;estrela;jaune,rouge,violet;1.1
Clara;Clara de Autriche;2;labrador;violet,bleu;10.3
Noah;Noah de Luxembourg;1;westie;orange,rouge;1.6
Romane;Romane de Autriche;2;kangai;violet;0.2
Léo;Léo de Pays-Bas;1;danois;vert;14.9
Jules;Jules de Lettonie;1;iriredse;orange,violet,violet;13.9
Timéo;Timéo de Slovénie;1;irisett;violet;2.4
Lucas;Lucas de Estonie;1;kangai;violet,violet;15.0
Léna;Léna de Espagne;2;irisett;bleu,violet,indigo;0.7
Nolan;Nolan de Slovénie;1;irisett;bleu,rouge,violet;0.1
Ethan;Ethan de Irlande;1;dunker;bleu;17.4
Timéo;Timéo de Slovénie;1;labrador;jaune,jaune,indigo;13.4
Théo;Théo de Espagne;1;estrela;orange;16.0
Nathan;Nathan de Malte;1;jackrute;orange;7.8
Ethan;Ethan de Italie;1;dunker;jaune;10.1
Chloé;Chloé de Belgique;2;kangai;rouge;10.5
Louna;Louna de Finlande;2;basset_alp;indigo,violet;3.9
Clara;Clara de Autriche;2;golden_ret;bleu,rouge;14.5
Clara;Clara de Estonie;2;golden_ret;jaune,orange;1.1
Noah;Noah de Slovénie;1;akita;vert,violet;0.9
Clément;Clément de Grèce;1;westie;vert,bleu,orange;19.7
Lucas;Lucas de Estonie;1;akitinu;violet,indigo;17.0
Gabriel;Gabriel de Malte;1;akita;bleu,orange,indigo;10.5
Jade;Jade de Pays-Bas;2;ovtccau;indigo,orange;18.7
Tom;Tom de Slovaquie;1;tchin;orange,bleu;3.5
Chloé;Chloé de Irlande;2;irisett;violet,orange;6.7
Raphaël;Raphaël de Finlande;1;kangai;vert,indigo,bleu;9.4
Sarah;Sarah de Espagne;2;dunker;rouge,violet;4.1
Jade;Jade de Grèce;2;rottweiler;jaune,indigo;6.3
