Nom;Nom complet;sexe;race;couleurs;poids
Adam;Adam de Estonie;1;estrela;orange,vert,vert;1.7
Enzo;Enzo de Estonie;1;estrela;violet;16.1
Enzo;Enzo de Slovénie;1;rottweiler;jaune;2.7
Romane;Romane de France;2;estrela;vert,bleu;15.8
Zoé;Zoé de Irlande;2;labrador;orange,vert,rouge;4.7
Jade;Jade de Autriche;2;basset_alp;violet;0.3
Noah;Noah de Finlande;1;basset_alp;indigo,vert,vert;6.7
Gabriel;Gabriel de Espagne;1;tchin;violet,violet,jaune;13.6
Louna;Louna de Italie;2;iriredse;violet;5.0
Eva;Eva de Pays-Bas;2;estrela;rouge,bleu;19.8
Nathan;Nathan de Pays-Bas;1;kangai;violet,bleu,rouge;4.8
Théo;Théo de Slovénie;1;labrador;violet,vert,orange;5.9
Alice;Alice de Slovaquie;2;danois;bleu;5.2
Lilou;Lilou de Pays-Bas;2;irisett;vert,orange;5.0
Noah;Noah de Slovénie;1;kangai;jaune,bleu;10.9
Hugo;Hugo de Lettonie;1;tchin;orange,indigo,bleu;16.0
Louise;Louise de Pays-Bas;2;westie;jaune;8.2
Léa;Léa de Estonie;2;rottweiler;bleu,rouge,rouge;7.9
Enzo;Enzo de Luxembourg;1;caniche;rouge,violet,orange;12.1
Nathan;Nathan de Chypre;1;dunker;vert,violet;7.6
Manon;Manon de Malte;2;irisett;bleu,bleu,rouge;3.9
Léna;Léna de Estonie;2;tchin;jaune;9.3
Jules;Jules de Belgique;1;westie;bleu,bleu,indigo;19.9
Lucas;Lucas de Lettonie;1;basset_alp;bleu;17.6
Clara;Clara de Luxembourg;2;maltais;orange;1.6
Sarah;Sarah de Espagne;2;dunker;bleu;8.2
Adam;Adam de Irlande;1;maltais;rouge,bleu,indigo;17.3
Manon;Manon de Pays-Bas;2;kangai;orange;19.5
Sarah;Sarah de Slovaquie;2;danois;jaune,orange;17.9
Alice;Alice de Belgique;2;danois;vert,indigo,vert;5.0
Jade;Jade de Grèce;2;akitinu;violet,bleu,vert;6.2
Zoé;Zoé de Estonie;2;irisett;orange;2.7
Lilou;Lilou de Pays-Bas;2;kangai;jaune;14.9
Jade;Jade de Grèce;2;westie;indigo;3.9
Jade;Jade de Espagne;2;harrier;vert,indigo;16.2
Léo;Léo de Italie;1;danois;jaune,vert,bleu;17.1
Lina;Lina de Luxembourg;2;westie;jaune;5.7
Lilou;Lilou de Irlande;2;dunker;orange,indigo,vert;9.5
Emma;Emma de France;2;akita;rouge,violet,jaune;11.2
Léa;Léa de Estonie;2;harrier;indigo,orange;19.8
Inès;Inès de Chypre;2;berger_all;jaune,bleu,indigo;12.5
Eva;Eva de Malte;2;berger_all;violet,rouge,vert;1.6
Chloé;Chloé de Slovénie;2;tchin;indigo;14.1
Raphaël;Raphaël de Portugal;1;jackrute;rouge,orange,orange;10.9
Romane;Romane de Allemagne;2;harrier;rouge;3.4
Louis;Louis de France;1;harrier;rouge,jaune;0.4
Louna;Louna de Finlande;2;danois;rouge,bleu,bleu;7.4
Camille;Camille de Luxembourg;2;danois;orange;1.6
Zoé;Zoé de Malte;2;labrador;vert,rouge;9.8
Louise;Louise de Chypre;2;ovtccau;jaune,violet,vert;11.9
Jules;Jules de Portugal;1;maltais;violet,indigo;9.8
Nolan;Nolan de Allemagne;1;maltais;rouge,orange;13.5
Clara;Clara de Slovaquie;2;akitinu;indigo,violet;1.1
Jules;Jules de Grèce;1;jackrute;rouge;10.9
Raphaël;Raphaël de Slovénie;1;berger_all;bleu,jaune;18.4
Manon;Manon de Espagne;2;westie;orange,jaune;8.7
Jade;Jade de Pays-Bas;2;irisett;jaune;16.4
Enzo;Enzo de Estonie;1;harrier;violet,indigo,vert;10.6
Lilou;Lilou de Chypre;2;estrela;violet,bleu;10.1
Camille;Camille de Grèce;2;danois;violet,violet,violet;2.1
Zoé;Zoé de Grèce;2;irisett;rouge,orange,indigo;0.1
Gabriel;Gabriel de Malte;1;dunker;orange,vert,violet;16.3
Hugo;Hugo de Italie;1;harrier;orange,violet,indigo;0.5
Timéo;Timéo de Finlande;1;basset_alp;orange,jaune,violet;19.8
Hugo;Hugo de Espagne;1;irisett;indigo,bleu;2.2
Léa;Léa de Slovaquie;2;westie;jaune,vert;15.1
Maëlys;Maëlys de France;2;irisett;orange;3.1
Gabriel;Gabriel de Lettonie;1;irisett;vert;5.5
Lina;Lina de Irlande;2;golden_ret;bleu;16.5
Lola;Lola de Lettonie;2;harrier;bleu;0.5
Léa;Léa de Pays-Bas;2;caniche;indigo;7.9
Lina;Lina de Lettonie;2;basset_alp;jaune,indigo;16.6
Lola;Lola de Pays-Bas;2;iriredse;rouge,bleu,rouge;18.2
Adam;Adam de Slovaquie;1;estrela;indigo,jaune,violet;8.4
Eva;Eva de Autriche;2;akitinu;vert;19.0
Nathan;Nathan de Luxembourg;1;harrier;orange;9.9
Arthur;Arthur de Irlande;1;golden_ret;vert,bleu;2.6
Louise;Louise de Grèce;2;berger_all;vert;6.7
Alice;Alice de Autriche;2;estrela;bleu,indigo;8.5
Chloé;Chloé de Chypre;2;caniche;jaune,bleu;5.7
Lucas;Lucas de Finlande;1;harrier;rouge,vert;1.2
Eva;Eva de Estonie;2;rottweiler;indigo,vert;13.9
Clément;Clément de Grèce;1;golden_ret;jaune,jaune;19.5
Jules;Jules de Malte;1;akita;jaune;4.0
Nathan;Nathan de Slovaquie;1;labrador;jaune,vert;17.0
Adam;Adam de Grèce;1;estrela;indigo;4.5
Chloé;Chloé de Irlande;2;ovtccau;vert,vert,vert;11.6
Louna;Louna de Allemagne;2;basset_alp;indigo;7.9
Clément;Clément de France;1;caniche;rouge,bleu;6.0
Zoé;Zoé de Grèce;2;danois;indigo,rouge,jaune;19.9
Louna;Louna de Allemagne;2;berger_all;vert,indigo;19.2
Adam;Adam de Portugal;1;kangai;rouge,orange;9.0
Noah;Noah de Lettonie;1;harrier;violet,orange;15.8
Jade;Jade de Espagne;2;danois;indigo,orange;10.5
Clara;Clara de Malte;2;jackrute;bleu;4.5
Maël;Maël de Slovaquie;1;iriredse;orange,orange;10.8
