Nom;Nom complet;sexe;race;couleurs;poids
Léo;Léo de Grèce;1;caniche;vert;3.2
Clément;Clément de Chypre;1;rottweiler;vert,bleu;2.4
Léna;Léna de Slovaquie;2;estrela;jaune,rouge;16.2
Lola;Lola de Pays-Bas;2;westie;orange,vert,indigo;9.3
Camille;Camille de Luxembourg;2;kangai;indigo;13.0
Théo;Théo de France;1;akita;rouge,vert;12.1
Jules;Jules de Irlande;1;danois;rouge,violet;9.4
Louise;Louise de France;2;jackrute;bleu;12.8
Lina;Lina de Irlande;2;akitinu;rouge,bleu;9.4
Clément;Clément de Slovaquie;1;westie;bleu;10.2
Maëlys;Maëlys de Lettonie;2;labrador;vert;2.3
Jade;Jade de Lettonie;2;maltais;orange,indigo;12.2
Léa;Léa de Finlande;2;akitinu;jaune,vert;19.7
Tom;Tom de Luxembourg;1;golden_ret;orange;18.7
Gabriel;Gabriel de Irlande;1;estrela;rouge;18.8
Tom;Tom de Portugal;1;maltais;bleu,rouge,rouge;3.3
Maël;Maël de Belgique;1;labrador;violet,orange;5.2
Hugo;Hugo de Belgique;1;maltais;vert;4.2
Zoé;Zoé de Slovénie;2;labrador;jaune;5.6
Timéo;Timéo de Autriche;1;basset_alp;jaune,jaune,orange;1.2
Timéo;Timéo de Pays-Bas;1;golden_ret;violet;1.2
Raphaël;Raphaël de Espagne;1;tchin;indigo;14.0
Léo;Léo de Chypre;1;ovtccau;indigo;2.1
Clara;Clara de Finlande;2;akitinu;vert,orange;4.6
Gabriel;Gabriel de Pays-Bas;1;westie;jaune,indigo,violet;1.8
Manon;Manon de Chypre;2;dunker;orange,violet,indigo;3.9
Maël;Maël de Malte;1;estrela;indigo,indigo;17.5
Eva;Eva de Slovénie;2;berger_all;indigo,orange,orange;9.3
Théo;Théo de Pays-Bas;1;kangai;indigo,orange;5.2
Noah;Noah de Espagne;1;basset_alp;indigo,indigo,rouge;0.3
Manon;Manon de Belgique;2;golden_ret;bleu;13.1
Lina;Lina de Estonie;2;kangai;indigo;0.1
Tom;Tom de Luxembourg;1;rottweiler;vert,jaune;5.4
Nathan;Nathan de Malte;1;labrador;vert,orange,jaune;16.5
Nathan;Nathan de Malte;1;golden_ret;violet,indigo,jaune;13.0
Tom;Tom de Autriche;1;tchin;vert,indigo;6.6
Manon;Manon de Portugal;2;caniche;indigo;7.3
Adam;Adam de Irlande;1;tchin;bleu,bleu;11.4
Maëlys;Maëlys de Irlande;2;harrier;indigo;14.3
Sarah;Sarah de Slovaquie;2;kangai;vert,violet;11.5
Maël;Maël de Allemagne;1;ovtccau;vert,violet;17.9
Maël;Maël de Malte;1;golden_ret;bleu,indigo;18.8
Tom;Tom de Slovaquie;1;irisett;violet,violet,vert;2.7
Gabriel;Gabriel de Portugal;1;basset_alp;violet;8.3
Timéo;Timéo de Malte;1;ovtccau;jaune,violet,rouge;14.3
Romane;Romane de Slovaquie;2;akita;violet;18.5
Léa;Léa de Autriche;2;berger_all;vert,vert,vert;3.9
Eva;Eva de Italie;2;maltais;rouge,violet;10.7
Clara;Clara de Grèce;2;iriredse;violet,jaune;5.1
Gabriel;Gabriel de Slovaquie;1;irisett;vert;11.7
Ethan;Ethan de Irlande;1;ovtccau;rouge,orange,violet;15.9
Hugo;Hugo de Finlande;1;rottweiler;bleu;12.9
Nolan;Nolan de Italie;1;irisett;jaune,orange,vert;17.9
Sarah;Sarah de Luxembourg;2;westie;indigo,indigo;4.9
Raphaël;Raphaël de Espagne;1;westie;vert;11.1
Manon;Manon de Malte;2;tchin;indigo,orange,rouge;18.3
Maëlys;Maëlys de Pays-Bas;2;berger_all;jaune;16.5
Raphaël;Raphaël de Slovénie;1;berger_all;jaune;12.4
Tom;Tom de Slovénie;1;basset_alp;bleu;18.2
Mathis;Mathis de Lettonie;1;maltais;orange;16.1
Lola;Lola de Belgique;2;dunker;rouge;16.5
Jade;Jade de Irlande;2;harrier;jaune,rouge,violet;1.1
Maël;Maël de Slovaquie;1;irisett;indigo,rouge;7.7
Léna;Léna de Grèce;2;caniche;violet;3.8
Louise;Louise de Slovaquie;2;kangai;violet,vert;12.3
Hugo;Hugo de France;1;golden_ret;indigo,jaune,rouge;17.5
Inès;Inès de Italie;2;caniche;bleu;14.2
Louise;Louise de Espagne;2;dunker;indigo;17.8
Nolan;Nolan de France;1;jackrute;vert,rouge,vert;5.5
Lola;Lola de Slovénie;2;jackrute;bleu,vert;9.7
Jade;Jade de Irlande;2;caniche;violet;16.6
Ethan;Ethan de Grèce;1;dunker;rouge,violet;12.8
Léo;Léo de Lettonie;1;rottweiler;rouge,orange;15.7
Adam;Adam de Malte;1;maltais;jaune,vert;3.7
Emma;Emma de Irlande;2;danois;jaune,rouge;8.7
Zoé;Zoé de Belgique;2;maltais;rouge,bleu,bleu;19.7
Sarah;Sarah de Grèce;2;basset_alp;rouge,rouge,jaune;13.8
Inès;Inès de Malte;2;danois;vert,rouge,violet;11.1
Camille;Camille de Autriche;2;danois;indigo;6.3
Raphaël;Raphaël de Finlande;1;caniche;rouge,bleu,vert;18.1
Clara;Clara de Finlande;2;golden_ret;vert,jaune;5.1
Maëlys;Maëlys de Malte;2;labrador;jaune;18.5
Inès;Inès de Belgique;2;harrier;bleu,violet;13.5
Lola;Lola de Pays-Bas;2;akitinu;violet;10.5
Jules;Jules de Estonie;1;berger_all;jaune,bleu,indigo;9.9
Lucas;Lucas de Chypre;1;iriredse;vert;6.3
Louna;Louna de Estonie;2;danois;orange,orange;0.5
Maël;Maël de Finlande;1;maltais;rouge,rouge,indigo;15.0
Hugo;Hugo de Portugal;1;rottweiler;orange;0.7
Chloé;Chloé de Grèce;2;harrier;indigo;13.8
Hugo;Hugo de Portugal;1;berger_all;rouge,bleu;16.9
Manon;Manon de Autriche;2;danois;indigo,jaune;11.3
Enzo;Enzo de Lettonie;1;irisett;violet,rouge,vert;10.6
Louna;Louna de Italie;2;iriredse;jaune,orange,orange;1.0
Romane;Romane de Autriche;2;akita;vert;19.4
Lucas;Lucas de Malte;1;irisett;jaune,rouge;16.1
Alice;Alice de Slovaquie;2;ovtccau;indigo,vert,orange;16.7
Léo;Léo de Portugal;1;labrador;indigo;7.5
Clara;Clara de Allemagne;2;jackrute;violet;10.1
Louise;Louise de Belgique;2;berger_all;vert;15.9
Tom;Tom de France;1;akita;indigo,orange,orange;2.4
Manon;Manon de Grèce;2;akitinu;vert,vert;3.7
Clément;Clément de Chypre;1;jackrute;vert,indigo;6.2
Gabriel;Gabriel de Estonie;1;iriredse;vert;16.5
Raphaël;Raphaël de Malte;1;basset_alp;violet;13.3
Lina;Lina de Portugal;2;akita;orange;19.8
Clara;Clara de Finlande;2;caniche;violet;8.5
Lina;Lina de Pays-Bas;2;estrela;orange,rouge,jaune;10.8
Nolan;Nolan de Malte;1;ovtccau;orange;4.7
Louise;Louise de Espagne;2;westie;bleu;5.7
Lina;Lina de Slovénie;2;caniche;vert,violet;17.3
Alice;Alice de Luxembourg;2;akitinu;orange;3.9
Lilou;Lilou de Espagne;2;tchin;bleu;4.8
Clara;Clara de Allemagne;2;westie;orange,indigo,rouge;7.7
Emma;Emma de Luxembourg;2;tchin;bleu,vert;0.5
Camille;Camille de Portugal;2;harrier;bleu,jaune;4.5
Clara;Clara de Allemagne;2;maltais;violet,orange;1.0
Sarah;Sarah de Grèce;2;basset_alp;rouge,jaune,violet;5.7
Clément;Clément de Portugal;1;westie;violet;7.9
Emma;Emma de Lettonie;2;akita;orange,bleu;16.1
Eva;Eva de Irlande;2;dunker;jaune;17.1
Clément;Clément de Allemagne;1;caniche;violet,vert,rouge;3.9
Léo;Léo de Italie;1;dunker;indigo,indigo;6.4
Léna;Léna de Chypre;2;harrier;vert;7.6
Chloé;Chloé de Allemagne;2;danois;rouge;16.5
Maëlys;Maëlys de Italie;2;ovtccau;bleu;8.2
Arthur;Arthur de Italie;1;westie;orange,violet;5.8
Léna;Léna de Pays-Bas;2;labrador;indigo;5.3
Tom;Tom de Irlande;1;ovtccau;jaune,orange;13.5
Camille;Camille de Estonie;2;ovtccau;orange,jaune;17.1
Clara;Clara de Luxembourg;2;westie;bleu;15.8
Clara;Clara de Allemagne;2;danois;bleu,rouge;8.6
Louna;Louna de Malte;2;iriredse;vert;1.1
Jade;Jade de Autriche;2;irisett;indigo;5.3
Gabriel;Gabriel de Autriche;1;irisett;rouge,bleu;8.3
Eva;Eva de Slovaquie;2;jackrute;jaune;14.8
Enzo;Enzo de Belgique;1;kangai;orange,jaune,vert;8.8
Emma;Emma de Allemagne;2;jackrute;vert,violet;7.1
Inès;Inès de Portugal;2;berger_all;vert,vert;16.8
Lina;Lina de Luxembourg;2;iriredse;jaune,rouge;10.1
Nathan;Nathan de Belgique;1;jackrute;violet,orange;16.8
Louis;Louis de Irlande;1;maltais;bleu,vert;7.6
Maëlys;Maëlys de Autriche;2;akitinu;orange;10.9
Alice;Alice de Slovaquie;2;danois;bleu;14.0
